Answer Id|Question Id|Exam Answer|Is Correct
A1-20110509Q1|Q1-20110509|8 PM|TRUE
A2-20110509Q1|Q1-20110509|3 PM|FALSE
A3-20110509Q1|Q1-20110509|8 PM|FALSE
A4-20110509Q1|Q1-20110509|12 AM|FALSE
A1-20110509Q2|Q2-20110509|Before Crime|FALSE
A2-20110509Q2|Q2-20110509|Beyond Christ|FALSE
A3-20110509Q2|Q2-20110509|Before Christ|TRUE
A4-20110509Q2|Q2-20110509|Beyond Choice|FALSE
A1-20110510Q1|Q1-20110510|3|FALSE
A2-20110510Q1|Q1-20110510|6|TRUE
A3-20110510Q1|Q1-20110510|13|FALSE
A4-20110510Q1|Q1-20110510|251|FALSE
A1-20110510Q2|Q2-20110510|Milennium|FALSE
A2-20110510Q2|Q2-20110510|Milinnium|FALSE
A3-20110510Q2|Q2-20110510|Millenium|FALSE
A4-20110510Q2|Q2-20110510|Millennium|TRUE
A1-20110511Q1|Q1-20110511|Jean-Paul Sartre|FALSE
A2-20110511Q1|Q1-20110511|Rene Descartes|TRUE
A3-20110511Q1|Q1-20110511|Blaise Pascal|FALSE
A4-20110511Q1|Q1-20110511|Friedrich Nietzsche|FALSE
A1-20110511Q2|Q2-20110511|Mt. Everest|FALSE
A2-20110511Q2|Q2-20110511|Chimborazo|FALSE
A3-20110511Q2|Q2-20110511|Maxwell Montes|FALSE
A4-20110511Q2|Q2-20110511|Mt. Olympus|TRUE
A1-20110719Q1|Q1-20110719|To rely|FALSE
A2-20110719Q1|Q1-20110719|To swing|FALSE
A3-20110719Q1|Q1-20110719|To hang|TRUE
A4-20110719Q1|Q1-20110719|To support|FALSE
A1-20110719Q2|Q2-20110719|From a pig’s hind quarters|FALSE
A2-20110719Q2|Q2-20110719|From the play, Hamlet|TRUE
A3-20110719Q2|Q2-20110719|Bad actors received meat|FALSE
A4-20110719Q2|Q2-20110719|Horrible Actors Meeting|FALSE
A1-20110720Q1|Q1-20110720|Kokin Wakashu|FALSE
A2-20110720Q1|Q1-20110720|Man-yoshu|TRUE
A3-20110720Q1|Q1-20110720|Uji Shui Monogatari|FALSE
A4-20110720Q1|Q1-20110720|Kojiki|FALSE
A1-20110720Q2|Q2-20110720|Socrates|TRUE
A2-20110720Q2|Q2-20110720|Pascal|FALSE
A3-20110720Q2|Q2-20110720|Hamlet|FALSE
A4-20110720Q2|Q2-20110720|Descartes|FALSE
A1-20110721Q1|Q1-20110721|Intimidation|FALSE
A2-20110721Q1|Q1-20110721|Preventing drowsiness|FALSE
A3-20110721Q1|Q1-20110721|Mourning|FALSE
A4-20110721Q1|Q1-20110721|Insect repellent|TRUE
A1-20110721Q2|Q2-20110721|Jealousy of the weak|FALSE
A2-20110721Q2|Q2-20110721|Jealousy of the superior|TRUE
A3-20110721Q2|Q2-20110721|Anger toward the weak|FALSE
A4-20110721Q2|Q2-20110721|Anger toward the superior|FALSE
A1-20110722Q1|Q1-20110722|Maca|FALSE
