Quiz Id|Prompt Giver|Quiz Prompt|Date
QZ-20110414|Ms. Sofue|Where did A.D. --In other words, Anno Domini-- begin?|2011-04-14
QZ-20110418|Mr. Kondo|Which of the following is a definite article?|2011-04-18
QZ-20110420|Yosuke|...Main Character! Help me out here?|2011-04-20
QZ-20110423|Yosuke|Main Character, h-help me out! What does she mean by commonality?|2011-04-23
QZ-20110425|Mr. Kondo|Tell me, what time are thieves most likely to sneak into your house here in Japan?|2011-04-25
QZ-20110426|Chie|It's half a sum of its divisors…? I'm totally lost… Do you know what the answer is, Main Character-kun?|2011-04-26
QZ-20110430|Mr. Yamada|Which of the following is the highest mountain in the solar system?|2011-04-30
QZ-20110507|Mr. Hosoi|Which one of the following is NOT a free morpheme?|2011-05-07
QZ-20110526|Yosuke|U-uh, writing system? Y-you wanna know what kind it was…?|2011-05-26
QZ-20110608|Yukiko|I know a 'ham' is a bad actor, but where does the term come from? Do you know?|2011-06-08
QZ-20110613|Mr. Kondo|What kind of exercise is a sprint classified as?|2011-06-13
QZ-20110615|Yosuke|I have no clue… Main Character, help me out here?|2011-06-15
QZ-20110620|Mrs. Nakayama|Tell me, who said, 'Law is the correct judgement of the state?'|2011-06-20
QZ-20110627|Mr. Morooka|What does 'ressentiment' mean? Answer the question!|2011-06-27
QZ-20110630|Mr. Yamada|Which one of these is the name of a real river?|2011-06-30
QZ-20110704|Yosuke|Psst, hey Main Character… Which one?|2011-07-04
QZ-20110707|Mr. Hosoi|Which poet wrote the most poems about Tanabata in the Man-Yoshu?|2011-07-07
QZ-20110713|Mr. Kondo|What does 'Rome wasn't built in a day' mean?|2011-07-13
QZ-20110714|Mr. Hosoi|Here's a question for you. Nautical dawn or civil dawn, which one is brighter?|2011-07-14
QZ-20110715|Mr. Yamada|Whaddaya think? Is it possible to grow melons in the Andes Mountain Range?|2011-07-15
QZ-20110716|Ms. Sofue|Tell me, what was the purpose of this eyeliner, widely used by the ancient Egyptians?|2011-07-16
QZ-20110901|Mr. Kondo|When was soccer first introduced in the Olympics?|2011-09-01
QZ-20110905|Mr. Hosoi|Which of the following isn't a kigo for spring?|2011-09-05
QZ-20110917|Ms.Sofue|Magellan is known for making the first voyage around the globe, but what was his motive for doing so?|2011-09-17
QZ-20110920|Mr. Kondo|What do you call people between the age of 100 & 110?|2011-09-20
QZ-20110928|Yosuke|Hey, Main Character… Do you know?|2011-09-28
QZ-20111004|Mr. Kondo|How much of those 2.5 liters of water do you think you lose by sweating? On average, of course.|2011-10-04
QZ-20111005|Yosuke|Umm… Any ideas, Main Character?|2011-10-05
QZ-20111008|Mr. Kondo|Which word is the predicate nominative in this sentence? 'Mr. Kondo is a super awesome teacher!'|2011-10-08
QZ-20111011|Ms. Sofue|What part of his physical appearance was the Sun King, Louis XIV, most concerned with?|2011-10-11
QZ-20111012|Mrs. Nakayama|How much do you think it costs to make a one-yen coin?|2011-10-12
QZ-20111013|Ms. Kashiwagi|What happens to plants when you touch them?|2011-10-13
QZ-20111101|Mr. Kondo|Which muscles do you think are weakening when you tend to rest your chin in your hands?|2011-11-01
QZ-20111104|Yosuke|My bad, Main Character. I wasn't paying attention...|2011-11-04
QZ-20111107|Mr. Yamada|The north or the south pole, which one is colder?|2011-11-07
QZ-20111111|Ms. Kashiwagi|So, who's the one that discovered the mycobacterium, tuberculosis?|2011-11-11
QZ-20111117|Yosuke|...Wait. What did she just ask me? The origin of the word 'wedding'…?|2011-11-17
QZ-20111122|Mr. Yamada|What's the name of the glacier in South America?|2011-11-22
QZ-20111124|Mrs. Nakayama|How many millennium prize problems do you think remain unsolved?|2011-11-24
QZ-20111125|Mr. Hosoi|What does it mean when you're in the 'eleventh hour'?|2011-11-25
QZ-20111126|Mr. Kondo|Which of the following is considered an incorrect way to spell 'Christmas'!?|2011-11-26
QZ-20111209|Ms. Kashiwagi|Which of the following has the largest population on Earth?|2011-12-09
QZ-20111210|Mr. Kondo|Which toe is important to running?|2011-12-10
QZ-20111217|Chie|...Metacarpals? Sounds like a snack's name. What does 'meta' mean, anyway?|2011-12-17
