Answer Id|Question Id|Quiz Answer|Is Correct|Influenced Arcana|Arcana Modifier|Courage Modifier|Diligence Modifier|Knowledge Modifier|Understanding Modifier|Expression Modifier
A1-20110414QZ|QZ-20110414|When humans were born|FALSE|||0|0|0|0|0
A2-20110414QZ|QZ-20110414|When Jesus was born|TRUE|||0|0|2|0|0
A3-20110414QZ|QZ-20110414|When a nation was founded|FALSE|||0|0|0|0|0
A1-20110418QZ|QZ-20110418|A|FALSE|||0|0|0|0|0
A2-20110418QZ|QZ-20110418|The|TRUE|||0|0|2|0|0
A3-20110418QZ|QZ-20110418|An|FALSE|||0|0|0|0|0
A1-20110420QZ|QZ-20110420|Milennium|FALSE|||0|0|0|0|0
A2-20110420QZ|QZ-20110420|Millennium|TRUE|Magician|3|0|0|0|0|2
A3-20110420QZ|QZ-20110420|Millenium|FALSE|||0|0|0|0|0
A1-20110423QZ|QZ-20110423|They were between rivers|FALSE|||0|0|0|0|0
A2-20110423QZ|QZ-20110423|They were by the riverside|TRUE|Magician|3|0|0|0|0|2
A3-20110423QZ|QZ-20110423|They had distinctive laws|FALSE|||0|0|0|0|0
A1-20110425QZ|QZ-20110425|8 AM|TRUE|||0|0|2|0|0
A2-20110425QZ|QZ-20110425|3 PM|FALSE|||0|0|0|0|0
A3-20110425QZ|QZ-20110425|12 AM|FALSE|||0|0|0|0|0
A1-20110426QZ|QZ-20110426|It’s a prime number|FALSE|||0|0|0|0|0
A2-20110426QZ|QZ-20110426|It’s a perfect number|TRUE|Chariot||0|0|0|0|2
A3-20110426QZ|QZ-20110426|It’s an amicable number|FALSE|||0|0|0|0|0
A1-20110430QZ|QZ-20110430|Mt. Fuji|FALSE|||0|0|0|0|0
A2-20110430QZ|QZ-20110430|Mt. Everest|FALSE|||0|0|0|0|0
A3-20110430QZ|QZ-20110430|Mt. Olympus|TRUE|||0|0|2|0|0
A1-20110507QZ|QZ-20110507|Ion|FALSE|||0|0|0|0|0
A2-20110507QZ|QZ-20110507|Ionize|TRUE|||0|0|2|0|0
A3-20110507QZ|QZ-20110507|Union|FALSE|||0|0|0|0|0
A1-20110526QZ|QZ-20110526|Cuneiform script|FALSE|||0|0|0|0|0
A2-20110526QZ|QZ-20110526|Sacred carvings|TRUE|Magician|3|0|0|0|0|2
A3-20110526QZ|QZ-20110526|Indus script|FALSE|||0|0|0|0|0
A4-20110526QZ|QZ-20110526|Oracle bone script|FALSE|||0|0|0|0|0
A1-20110608QZ|QZ-20110608|From a pig’s hind quarters|FALSE|||0|0|0|0|0
A2-20110608QZ|QZ-20110608|From the play, Hamlet|TRUE|Priestess|3|0|0|0|0|2
A3-20110608QZ|QZ-20110608|From bad Ham Radio actors|FALSE|||0|0|0|0|0
A1-20110613QZ|QZ-20110613|Aerobics|FALSE|||0|0|0|0|0
A2-20110613QZ|QZ-20110613|Anaerobics|TRUE|||0|0|2|0|0
A3-20110613QZ|QZ-20110613|Oxyrobics|FALSE|||0|0|0|0|0
A1-20110615QZ|QZ-20110615|To rely|FALSE|||0|0|0|0|0
A2-20110615QZ|QZ-20110615|To support|FALSE|||0|0|0|0|0
A3-20110615QZ|QZ-20110615|To hung|TRUE|Magician|3|0|0|0|0|2
A1-20110620QZ|QZ-20110620|Pascal|FALSE|||0|0|0|0|0
A2-20110620QZ|QZ-20110620|Socrates|TRUE|||0|0|2|0|0
A3-20110620QZ|QZ-20110620|Plato|FALSE|||0|0|0|0|0
A1-20110627QZ|QZ-20110627|Hatred and jealousy|TRUE|||0|0|2|0|0
A2-20110627QZ|QZ-20110627|Depravity and fear|FALSE|||0|0|0|0|0
A3-20110627QZ|QZ-20110627|Sadness and greed|FALSE|||0|0|0|0|0
A1-20110630QZ|QZ-20110630|Lame Duck River|FALSE|||0|0|0|0|0
A2-20110630QZ|QZ-20110630|Pis Pis River|TRUE|||0|0|2|0|0
A3-20110630QZ|QZ-20110630|Mahony’s Phony River|FALSE|||0|0|0|0|0
A1-20110704QZ|QZ-20110704|Deductive reasoning|FALSE|||0|0|0|0|0
A2-20110704QZ|QZ-20110704|Inductive reasoning|TRUE|Magician|3|0|0|0|0|2
A3-20110704QZ|QZ-20110704|Neither|FALSE|||0|0|0|0|0
A1-20110707QZ|QZ-20110707|Ono no Komachi|FALSE|||0|0|0|0|0
A2-20110707QZ|QZ-20110707|Kobayashi Issa|FALSE|||0|0|0|0|0
A3-20110707QZ|QZ-20110707|Kakinomoto no Hitomaro|TRUE|||0|0|2|0|0
A1-20110713QZ|QZ-20110713|It’s not easy|FALSE|||0|0|0|0|0
A2-20110713QZ|QZ-20110713|To keep trying|FALSE|||0|0|0|0|0
A3-20110713QZ|QZ-20110713|It takes time|TRUE|||0|0|2|0|0
A1-20110714QZ|QZ-20110714|Nautical dawn|FALSE|||0|0|0|0|0
A2-20110714QZ|QZ-20110714|Civil dawn|TRUE|||0|0|2|0|0
A3-20110714QZ|QZ-20110714|Both are the same|FALSE|||0|0|0|0|0
A1-20110715QZ|QZ-20110715|Yes, it’s possible|FALSE|||0|0|0|0|0
A2-20110715QZ|QZ-20110715|No, it’s not possible|TRUE|||0|0|2|0|0
A1-20110716QZ|QZ-20110716|Insect repellent|TRUE|||0|0|2|0|0
A2-20110716QZ|QZ-20110716|Intimidation|FALSE|||0|0|0|0|0
A3-20110716QZ|QZ-20110716|Mourning|FALSE|||0|0|0|0|0
A1-20110901QZ|QZ-20110901|1896|FALSE|||0|0|0|0|0
A2-20110901QZ|QZ-20110901|1904|FALSE|||0|0|0|0|0
A3-20110901QZ|QZ-20110901|1900|TRUE|||0|0|2|0|0
A1-20110905QZ|QZ-20110905|Ume blossom|FALSE|||0|0|0|0|0
A2-20110905QZ|QZ-20110905|Sardine|TRUE|||0|0|2|0|0
A3-20110905QZ|QZ-20110905|Frog|FALSE|||0|0|0|0|0
A1-20110917QZ|QZ-20110917|To propagate Christianity|FALSE|||0|0|0|0|0
A2-20110917QZ|QZ-20110917|To make profit from spices|TRUE|||0|0|2|0|0
A3-20110917QZ|QZ-20110917|To prove the earth is round|FALSE|||0|0|0|0|0
A1-20110920QZ|QZ-20110920|Supercentenarians|FALSE|||0|0|0|0|0
A2-20110920QZ|QZ-20110920|Centenarians|TRUE|||0|0|2|0|0
A3-20110920QZ|QZ-20110920|Nonagenarians|FALSE|||0|0|0|0|0
A1-20110928QZ|QZ-20110928|An idiom|FALSE|||0|0|0|0|0
A2-20110928QZ|QZ-20110928|Hyperbole|TRUE|Magician|3|0|0|0|0|2
A3-20110928QZ|QZ-20110928|A metaphor|FALSE|||0|0|0|0|0
A1-20111004QZ|QZ-20111004|0.5 liters|TRUE|||0|0|2|0|0
A2-20111004QZ|QZ-20111004|1 liters|FALSE|||0|0|0|0|0
A3-20111004QZ|QZ-20111004|1.5 liters|FALSE|||0|0|0|0|0
A1-20111005QZ|QZ-20111005|The green pigment ages|TRUE|Magician|3|0|0|0|0|2
A2-20111005QZ|QZ-20111005|The green pigment evolves|FALSE|||0|0|0|0|0
A3-20111005QZ|QZ-20111005|The green pigment activates|FALSE|||0|0|0|0|0
A1-20111008QZ|QZ-20111008|Mr. Kondo|FALSE|||0|0|0|0|0
A2-20111008QZ|QZ-20111008|teacher|TRUE|||0|0|2|0|0
A3-20111008QZ|QZ-20111008|awesome|FALSE|||0|0|0|0|0
A1-20111011QZ|QZ-20111011|His misaligned teeth|FALSE|||0|0|0|0|0
A2-20111011QZ|QZ-20111011|His height|TRUE|||0|0|2|0|0
A3-20111011QZ|QZ-20111011|His weight|FALSE|||0|0|0|0|0
A1-20111012QZ|QZ-20111012|0.3 yen|FALSE|||0|0|0|0|0
A2-20111012QZ|QZ-20111012|One yen|FALSE|||0|0|0|0|0
A3-20111012QZ|QZ-20111012|Two yen|TRUE|||0|0|2|0|0
A1-20111013QZ|QZ-20111013|It slows their growth|FALSE|||0|0|0|0|0
A2-20111013QZ|QZ-20111013|Nothing|FALSE|||0|0|0|0|0
A3-20111013QZ|QZ-20111013|It speeds up their growth|TRUE|||0|0|2|0|0
A1-20111101QZ|QZ-20111101|Your neck to your arms|FALSE|||0|0|0|0|0
A2-20111101QZ|QZ-20111101|Your shoulders to your arms|FALSE|||0|0|0|0|0
A3-20111101QZ|QZ-20111101|Your back to your shoulders|TRUE|||0|0|2|0|0
